item_num,num_code,institution,section_name,stid,stname,qpegc,qpf,alarm_level
035,1502,林園區,林園區(2),KHC035,林園區(2),70.00,NULL,CRITICAL
035,1502,林園區,林園區(2),KHC035,林園區(2),NULL,70.00,CRITICAL
036,1601,梓官區,梓官區(1),KHC036,梓官區(1),60.00,NULL,PRE-WARNING
036,1601,梓官區,梓官區(1),KHC036,梓官區(1),NULL,60.00,PRE-WARNING
036,1601,梓官區,梓官區(1),KHC036,梓官區(1),60.00,NULL,WARNING
036,1601,梓官區,梓官區(1),KHC036,梓官區(1),NULL,60.00,WARNING
036,1601,梓官區,梓官區(1),KHC036,梓官區(1),60.00,NULL,CRITICAL
036,1601,梓官區,梓官區(1),KHC036,梓官區(1),NULL,60.00,CRITICAL
037,1602,梓官區,梓官區(2),KHC037,梓官區(2),60.00,NULL,PRE-WARNING
037,1602,梓官區,梓官區(2),KHC037,梓官區(2),NULL,60.00,PRE-WARNING
037,1602,梓官區,梓官區(2),KHC037,梓官區(2),60.00,NULL,WARNING
037,1602,梓官區,梓官區(2),KHC037,梓官區(2),NULL,60.00,WARNING
037,1602,梓官區,梓官區(2),KHC037,梓官區(2),60.00,NULL,CRITICAL
037,1602,梓官區,梓官區(2),KHC037,梓官區(2),NULL,60.00,CRITICAL
038,1603,梓官區,梓官區(3),KHC038,梓官區(3),60.00,NULL,PRE-WARNING
038,1603,梓官區,梓官區(3),KHC038,梓官區(3),NULL,60.00,PRE-WARNING
038,1603,梓官區,梓官區(3),KHC038,梓官區(3),60.00,NULL,WARNING
038,1603,梓官區,梓官區(3),KHC038,梓官區(3),NULL,60.00,WARNING
038,1603,梓官區,梓官區(3),KHC038,梓官區(3),60.00,NULL,CRITICAL
038,1603,梓官區,梓官區(3),KHC038,梓官區(3),NULL,60.00,CRITICAL
039,1604,梓官區,梓官區(4),KHC039,梓官區(4),60.00,NULL,PRE-WARNING
039,1604,梓官區,梓官區(4),KHC039,梓官區(4),NULL,60.00,PRE-WARNING
039,1604,梓官區,梓官區(4),KHC039,梓官區(4),60.00,NULL,WARNING
039,1604,梓官區,梓官區(4),KHC039,梓官區(4),NULL,60.00,WARNING
039,1604,梓官區,梓官區(4),KHC039,梓官區(4),60.00,NULL,CRITICAL
039,1604,梓官區,梓官區(4),KHC039,梓官區(4),NULL,60.00,CRITICAL
040,1701,楠梓區,楠梓區(1),KHC040,楠梓區(1),60.00,NULL,PRE-WARNING
040,1701,楠梓區,楠梓區(1),KHC040,楠梓區(1),NULL,60.00,PRE-WARNING
040,1701,楠梓區,楠梓區(1),KHC040,楠梓區(1),60.00,NULL,WARNING
040,1701,楠梓區,楠梓區(1),KHC040,楠梓區(1),NULL,60.00,WARNING
040,1701,楠梓區,楠梓區(1),KHC040,楠梓區(1),60.00,NULL,CRITICAL
040,1701,楠梓區,楠梓區(1),KHC040,楠梓區(1),NULL,60.00,CRITICAL
041,1702,楠梓區,楠梓區(2),KHC041,楠梓區(2),60.00,NULL,PRE-WARNING
041,1702,楠梓區,楠梓區(2),KHC041,楠梓區(2),NULL,60.00,PRE-WARNING
041,1702,楠梓區,楠梓區(2),KHC041,楠梓區(2),60.00,NULL,WARNING
041,1702,楠梓區,楠梓區(2),KHC041,楠梓區(2),NULL,60.00,WARNING
041,1702,楠梓區,楠梓區(2),KHC041,楠梓區(2),60.00,NULL,CRITICAL
041,1702,楠梓區,楠梓區(2),KHC041,楠梓區(2),NULL,60.00,CRITICAL
042,1801,橋頭區,橋頭區(1),KHC042,橋頭區(1),60.00,NULL,PRE-WARNING
042,1801,橋頭區,橋頭區(1),KHC042,橋頭區(1),NULL,60.00,PRE-WARNING
042,1801,橋頭區,橋頭區(1),KHC042,橋頭區(1),60.00,NULL,WARNING
042,1801,橋頭區,橋頭區(1),KHC042,橋頭區(1),NULL,60.00,WARNING
042,1801,橋頭區,橋頭區(1),KHC042,橋頭區(1),60.00,NULL,CRITICAL
042,1801,橋頭區,橋頭區(1),KHC042,橋頭區(1),NULL,60.00,CRITICAL
043,1901,永安區,永安區(1),KHC043,永安區(1),60.00,NULL,PRE-WARNING
043,1901,永安區,永安區(1),KHC043,永安區(1),NULL,60.00,PRE-WARNING
043,1901,永安區,永安區(1),KHC043,永安區(1),60.00,NULL,WARNING
043,1901,永安區,永安區(1),KHC043,永安區(1),NULL,60.00,WARNING
043,1901,永安區,永安區(1),KHC043,永安區(1),60.00,NULL,CRITICAL
043,1901,永安區,永安區(1),KHC043,永安區(1),NULL,60.00,CRITICAL
044,1902,永安區,永安區(2),KHC044,永安區(2),60.00,NULL,PRE-WARNING
044,1902,永安區,永安區(2),KHC044,永安區(2),NULL,60.00,PRE-WARNING
044,1902,永安區,永安區(2),KHC044,永安區(2),60.00,NULL,WARNING
044,1902,永安區,永安區(2),KHC044,永安區(2),NULL,60.00,WARNING
044,1902,永安區,永安區(2),KHC044,永安區(2),60.00,NULL,CRITICAL
044,1902,永安區,永安區(2),KHC044,永安區(2),NULL,60.00,CRITICAL
045,1903,永安區,永安區(3),KHC045,永安區(3),60.00,NULL,PRE-WARNING
045,1903,永安區,永安區(3),KHC045,永安區(3),NULL,60.00,PRE-WARNING
045,1903,永安區,永安區(3),KHC045,永安區(3),60.00,NULL,WARNING
045,1903,永安區,永安區(3),KHC045,永安區(3),NULL,60.00,WARNING
045,1903,永安區,永安區(3),KHC045,永安區(3),60.00,NULL,CRITICAL
045,1903,永安區,永安區(3),KHC045,永安區(3),NULL,60.00,CRITICAL
046,2001,湖內區,湖內區(1),KHC046,湖內區(1),60.00,NULL,PRE-WARNING
046,2001,湖內區,湖內區(1),KHC046,湖內區(1),NULL,60.00,PRE-WARNING
046,2001,湖內區,湖內區(1),KHC046,湖內區(1),60.00,NULL,WARNING
046,2001,湖內區,湖內區(1),KHC046,湖內區(1),NULL,60.00,WARNING
046,2001,湖內區,湖內區(1),KHC046,湖內區(1),60.00,NULL,CRITICAL
046,2001,湖內區,湖內區(1),KHC046,湖內區(1),NULL,60.00,CRITICAL
047,2102,燕巢區,燕巢區(2),KHC047,燕巢區(2),60.00,NULL,PRE-WARNING
047,2102,燕巢區,燕巢區(2),KHC047,燕巢區(2),NULL,60.00,PRE-WARNING
047,2102,燕巢區,燕巢區(2),KHC047,燕巢區(2),60.00,NULL,WARNING
047,2102,燕巢區,燕巢區(2),KHC047,燕巢區(2),NULL,60.00,WARNING
047,2102,燕巢區,燕巢區(2),KHC047,燕巢區(2),60.00,NULL,CRITICAL
047,2102,燕巢區,燕巢區(2),KHC047,燕巢區(2),NULL,60.00,CRITICAL
048,2201,田寮區,田寮區(1),KHC048,田寮區(1),70.00,NULL,PRE-WARNING
048,2201,田寮區,田寮區(1),KHC048,田寮區(1),NULL,70.00,PRE-WARNING
048,2201,田寮區,田寮區(1),KHC048,田寮區(1),70.00,NULL,WARNING
048,2201,田寮區,田寮區(1),KHC048,田寮區(1),NULL,70.00,WARNING
048,2201,田寮區,田寮區(1),KHC048,田寮區(1),70.00,NULL,CRITICAL
048,2201,田寮區,田寮區(1),KHC048,田寮區(1),NULL,70.00,CRITICAL
049,2301,美濃區,美濃區(1),KHC049,美濃區(1),60.00,NULL,PRE-WARNING
049,2301,美濃區,美濃區(1),KHC049,美濃區(1),NULL,60.00,PRE-WARNING
049,2301,美濃區,美濃區(1),KHC049,美濃區(1),60.00,NULL,WARNING
049,2301,美濃區,美濃區(1),KHC049,美濃區(1),NULL,60.00,WARNING
049,2301,美濃區,美濃區(1),KHC049,美濃區(1),60.00,NULL,CRITICAL
049,2301,美濃區,美濃區(1),KHC049,美濃區(1),NULL,60.00,CRITICAL
050,2401,苓雅區,苓雅區(1),KHC050,苓雅區(1),60.00,NULL,PRE-WARNING
050,2401,苓雅區,苓雅區(1),KHC050,苓雅區(1),NULL,60.00,PRE-WARNING
050,2401,苓雅區,苓雅區(1),KHC050,苓雅區(1),60.00,NULL,WARNING
050,2401,苓雅區,苓雅區(1),KHC050,苓雅區(1),NULL,60.00,WARNING
050,2401,苓雅區,苓雅區(1),KHC050,苓雅區(1),60.00,NULL,CRITICAL
050,2401,苓雅區,苓雅區(1),KHC050,苓雅區(1),NULL,60.00,CRITICAL
051,2402,苓雅區,苓雅區(2),KHC051,苓雅區(2),60.00,NULL,PRE-WARNING
051,2402,苓雅區,苓雅區(2),KHC051,苓雅區(2),NULL,60.00,PRE-WARNING
051,2402,苓雅區,苓雅區(2),KHC051,苓雅區(2),60.00,NULL,WARNING
051,2402,苓雅區,苓雅區(2),KHC051,苓雅區(2),NULL,60.00,WARNING
051,2402,苓雅區,苓雅區(2),KHC051,苓雅區(2),60.00,NULL,CRITICAL
051,2402,苓雅區,苓雅區(2),KHC051,苓雅區(2),NULL,60.00,CRITICAL
052,2403,苓雅區,苓雅區(3),KHC052,苓雅區(3),60.00,NULL,PRE-WARNING
052,2403,苓雅區,苓雅區(3),KHC052,苓雅區(3),NULL,60.00,PRE-WARNING
052,2403,苓雅區,苓雅區(3),KHC052,苓雅區(3),60.00,NULL,WARNING
052,2403,苓雅區,苓雅區(3),KHC052,苓雅區(3),NULL,60.00,WARNING
052,2403,苓雅區,苓雅區(3),KHC052,苓雅區(3),60.00,NULL,CRITICAL
052,2403,苓雅區,苓雅區(3),KHC052,苓雅區(3),NULL,60.00,CRITICAL
053,2501,茄萣區,茄萣區(1),KHC053,茄萣區(1),70.00,NULL,PRE-WARNING
053,2501,茄萣區,茄萣區(1),KHC053,茄萣區(1),NULL,70.00,PRE-WARNING
053,2501,茄萣區,茄萣區(1),KHC053,茄萣區(1),70.00,NULL,WARNING
053,2501,茄萣區,茄萣區(1),KHC053,茄萣區(1),NULL,70.00,WARNING
053,2501,茄萣區,茄萣區(1),KHC053,茄萣區(1),70.00,NULL,CRITICAL
